im,i am
lhm,lord have mercy
lhk,love hugs kisses
lhu,let's hook up
sapfu,surpassing all previous foul ups
pans,pretty awesome new stuff
itm,in the money
ptpop,pat the pissed off primate
atsl,along the same line
fft,food for thought
ffs,for fuck sake
soddi,some other dude did it
atst,at the same time
ffa,free for all
xtc,ecstasy
wtdb,what's the difference between
20,location
ptmm,please tell me more
wrt,with regard to
omwt,on my way too
inucosm,it's no use crying over spilt milk
pcm,please call me
uscwap,up shit creek without a paddle
ayfkmwts,are you fucking kidding me with this shit
lmta,like minds think alike
lmtc,left a message to contact
yb,you bitch
wambam,web application meets brick and mortar
yf,wife
dbmib,don't bother me i'm busy
icymi,in case you missed it
ys,you stinker
yr,yeah right
yw,you're welcome
iinm,if i'm not mistaken
unoit,you know it
aimp,always in my prayers
2d,lootoodle oo
hho1/2k,"ha ha, only half kidding"
2bornot2b,to be or not to be
anfscd,and now for something completely different
ygbk,you gotta be kidding
gfy,good for you
jdmj,just doing my job
gfr,grim file reaper
fish,"first in, still here"
gwot,glorified waste of time
ucwap,up a creek without a paddle
gfi,go for it
gfn,gone for now
ygtbk,you've got to be kidding
tafn,that's all for now
gff,go fucking figure
lola,laugh out loud again
kypo,keep your pants on
ftw,for the win
lysouaq,learn your shit or up and quit
nmm,No make up monday
faql,frequently asked questions list
ftc,failure to communicate
fte,full time employee
tttka,time to totally kick ass
lolz,lots of laughs
ftl,faster than light
puh,personal umbrella handler
ntb,not too bright
rlco,real life conference
duna,don't use no acronyms
mml,made me laugh
base,"buildings, antennas, spans, earth"
rotfl,rolling on the floor laughing
sbi,sorry 'bout it
asl,age/sex/location
lmirl,let's meet in real life
sitcom,"single income, two children, oppressive mortgage"
wtfh,what the fucking hell
omik,"open mouth, insert keyboard"
fcol,for crying out loud
bhag,big hairy audacious goal
cupl,couple
dino,democrat in name only
dink,"double incomes, no kids"
phs,pointy haired stupidvisor
dinr,dinner
bioyn,blow it out your nose
bioya,blow it out your ass
ursai,you are such an idiot
bioye,blow it out your ear
kok,knock
dfu,don't fuck up
wtfwycm,why the fuck would you call me?
darfc,ducking and running for cover
snnshwr,sit means sun showers
esad,eat shit and die
tfm,thanks from me
llta,lots and lots of thunderous applause
bsaaw,big smile and a wink
tfh,thread from hell
sete,smiling ear to ear
qls,reply
tfx,traffic
tfw,that feeling when
tfs,thanks for sharing
ncg,new college graduate
dtk,down to kill
aaf,as a friend
sta,short term attitude
dtc,deep throaty chuckle
stm,spank the monkey
drcowoto,don't really care one way or the other
aak,asleep at keyboard
hppo,highest paid person in office
aas,alive and smiling
aar,at any rate
p2u4uraqtp,peace to you for you are a cutie pie
kybc,keep your bum clean
tfn,thanks for nothing
aimb,as i mentioned before
tiail,think i am in love
wafs,warm and fuzzies
bhg,big hearted guy
wafu,what a fuck up
iykwimaityd,if you know what i mean and i think you do
nimjd,not in my job description
7pppppppppror,prior proper planning prevents piss poor performance
wafb,what a fucking bitch
ysyd,"yeah, sure you do"
kippers,kids in parents' pockets eroding retirement savings
hohah,ollywood hacker
tyvm,thank you very much
lig,let it go
lib,lying in bed
fyeo,for your eyes only
untco,you need to chill out
jeomk,just ejaculated on my keyboard
eft,electronic funds transfer
lir,let it rest
lis,laughing in silence
bohica,bend over here it comes again
buff,big ugly fat fuck
kab,kick ass bitch
watn,where are they now
tmtt,too much to type
gilf,grandmother i'd like to fuck
jsu,just shut up
rhk,roundhouse kick
amap,as many as possible
moss,member(s) of the same sex
wym,what do you mean?
gbtw,get back to work
kb,kick butt
nnww,"nudge, nudge, wink, wink"
tpc,the phone company
tjbnj,this job beats no job
itsfwi,if the shoe fits wear it
kk,"kit means ""over"" as in, waiting for your reply"
fgdai,fuhgedaboudit
sbta,"sorry, being thick again"
ko,knocked out
h2s,here to stay
ks,kill stealer
tpt,trailor park trash
gsoas,go sit on a snake
rtb,returning to base
ugc,user-generated content
rth,release the hounds
rtk,return to keyboard
ootb,out of the box
ootc,obligatory on topic comment
stfu,shut the fuck up
rts,read the screen
yct,your comment to
jtou,just thinking of you
bfg,big fucking gun
bff,best friends forever
bfe,bum fuck egypt
bfd,big fucking deal
osintot,oh shit i never thought of that
bfn,bye for now
h2cus,hope to see you soon
dityid,did i tell you i'm distressed
wiify,what's in it for you
jtol,just thinking out loud
ief,it's esther's fault
std,"seal the deal, save the date, sexually transmitted disease, stuff to do"
lombard,lots of money but a right dick
hig,how's it going?
hih,hope it helps
atw,"all the web, around the web, all the way, at the weekend"
cd9,code 9 - it means parents are around
rfs,really fucking soon
crs,can't remember shit
rfp,request for proposal
crb,come right back
2g2bt,too good to be true
crd,caucasian rhythm disorder
rfd,request for discussion
gospel,god's only son provides eternal life
bthoom,beats the heck out of me
lmho,laughing my head off
tck,third culture kid
pvp,player versus player
gftd,gone for the day
p2c2e,process too complicated too explain
dtf,down to fuck
seg,shit eating grin
barb,buy abroad but rent in britain
gftu,good for the universe
lumtp,love you more than pie
wot,waste of time or- it means what
wop,with out papers
wom,word of mouth
stw,search the web
wog,wise old guy
woa,work of art
esemed,every second every minute every day
bibi,bye bye
bibo,"beer in, beer out"
lgbtq+,"lesbian, gay, bisexual, transgender, queer +"
sts,so to speak
weg,wicked evil grin
gggg,"god, god, god, god"
botl,bra on the loose
mego,my eyes glaze over
pds,please don't shout
alol,actually laughing out loud
motss,member(s) of the same sex
f2t,free to talk
afap,as far as possible
stml,short term memory loss
wdym,what do you mean?
dfik,darn if i know
rtwfq,read the whole fucking question
rofl,rolling on floor laughing
mstm,makes sense to me
asdo,"agmtagreat minds think alike, and so do ours"
wdys,what did you say?
msta,must see to appreciate
wdyt,what do you think?
dui,driving under the influence
c/s,change of subject
dum,do you masturbate?
pu,that stinks
tgif,thank god it's friday
laoj,laughing at own joke
swf,single white female
pb,potty break
pc,personal computer
pa,parent alert
pd,public domain
dur,do you remember
pi,amvaonomotor vehicle accident with no personal injury
swu,so what's up
po,piss off
pm,personal message
yllo,you lie like obama
imao,in my arrogant opinion
nrn,no reply necessary
adn,advanced digital network
gal,get a life
mfwic,mother fucker who's in charge
uryy4m,you are too wise for me
gab,getting a beer
iyd,in your dreams
lool,laughing outrageously out loud
mla,multiple letter acronym
bcbg,bon chic bon genre
iyo,in your opinion
bcbs,"big company, big school"
fud,"fear, uncertainty, and disinformation"
fub,fat ugly bastard
dyjhiw,don't you just hate it when...
motd,message of the day
wafm,what a fucking mess
stys,speak to you soon
yati,you're a total idiot
bbfn,bye bye for now
ftbomh,from the bottom of my heart
aml,all my love
ddwi,don't dick with it
udh82bme,you'd hate to be me
mins,minutes
glgh,good luck and good hunting
tqm,total quality management
lumumi,love you miss you mean it
gmafb,give me a fucking break
ama,ask me anything
wuwh,wish you were here
hwga,here we go again
dga,don't go anywhere
syk,so you know
syl,see you later
sys,see you soon
dgt,don't go there
syt,see you tomorrow
2u2,to you too
pmigbom,put mind in gear before opening mouth
amf,adios mother fucker
byam,between you and me
hagd,have a great day
gsw,gun shot wound
hagn,have a good night
hago,have a good one
gsc,gimme some credit
y,why?
huya,head up your ass
mtfbwy,may the force be with you
adbb,all done bye bye
tyclo,turn your caps lock off
iohi,'m outta here
tobal,there oughta be a law
twimc,to whom it may concern
bi5,back in five
mmha2u,my most humble apologies to you
sird,"sorry, incorrect recipient, disregard"
cuz,because
snag,sensitive new age guy
emfji,excuse me for jumping in
cua,clean up afterwards
m4m,men for men
nwot,new without tags
m4c,meet for coffee
cul,see you later
bio,bring it on
bil,brother-in-law
bif,basis in fact
rhip,rank has its privileges
e123,"easy as one, two, three"
gnblfy,got nothing but love for you
itma,it's that man again
bseg,big shit eating grin
iimad,if it makes any difference
iyaoyas,if you ain't ordinance you ain't shit
u-l,you will
fwotf**,*ing waste of time
dbbswf,"dream boat body, shipwreck face"
tnln,"took nothing, left nothing"
w/o,without
nbfabs,not bad for a bot stopper
somf,sit on my face
b4,before
wati,what a terrible idea
suac,shit up a creek
smaim,send me an instant message
pmf,pardon my french
bd,big deal
bf,boyfriend
bg,be good
fomo,fear of missing out
bb,be back
bc,because
bl,belly laughing
fomc,fell off my chair
bn,been
303,mom
j2lyk,just to let you know
bj,blow job
bt,byte this
bw,best wishes
br,bathroom
bs,big smile
rus,are you serious?
gmab,give me a break
bz,busy
fomof,fear of missing out on football
bgf,best girlfriend
yglt,you're gonna love this
cmao,chortling my ass off
idm,it doesn't matter
idi,dentification
ylh,your loving husband
gotdpwyd,get off the damn phone while you're driving
bmof,bite me old fart
nsa,no strings attached
nsb,not sure but
bmoc,big man on campus
roflmaoastc,rolling on floor laughing my ass off and scaring the cat
nss,no shit sherlock
glyasdi,god loves you and so do i
lonh,"lights on, nobody home"
bion,believe it or not
u2,you too
lgmas,lord give me a sign
galher,get a load of her
fasb,fast ass son bitchii
bruf,big requirements up front
spat,some people are trains
4eae,forever and ever
kc,keep cool
wtshtf,when the shit hits the fan
iitywimwybmad,if i tell you what it means will you buy me a drink
pwp,"plot, what plot?"
lins,"laugh, i nearly shat"
mitin,more info than i needed
sdk,scottie doesn't know
iuri,if you are interested
cid,consider it done
uv,unpleasant visual
cio,check it out
cil,check in later
ptoyed,please turn off your electronic devices
lysyb,"love ya, see ya, bye"
l@u,laughing at you
nbif,no basis in fact
lya,love you all
lyb,love you babe
lyl,love you lots
nak,nursing at keyboard
b/w,between
tptb,the powers that be
naz,"name, address, zip (also means nasdaq)"
tps,that's pretty stupid
b/c,because
piaps,pig in a pant suit
wf,way fun
tflms,thanks for letting me share
yajwd,you ain't just whistling dixie
topca,til our paths cross again
agb,almost good bridge
gr8,great
gt,good try
2g2b4g,too good to be forgotten
wywh,wish you were here
wd,well done
tanj,there ain't no justice
edm,electronic document management
ganb,getting another beer
gf,girlfriend
gc,good crib
gb,good bridge
ga,go ahead
asaygt,as soon as you get this
gm,good morning
gl,good luck
gj,good job
gi,google it
yaun,yet another unix nerd
iyfd,in your fucking dreams
fwiw,for what it's worth
g1,good one
g9,genius
h4u,hot for you
mlas,my lips are sealed
lfti,looking forward to it
aayf,"as always, your friend"
stfw,search the fucking web
mmyt,mail me your thoughts
fbks,failure between keyboard and seat
snert,snotty nosed egotistical rotten teenager
uwiwu,you wish i was you
tlk2ul8r,talk to you later
aeap,as early as possible
ufuf,"you fuck, you fix"
trp,television rating points
glawd,good luck and well done
btwitiailwu,by the way i think i am in love with you
nbfab,not bad for a beginner
cqts,chuckling quietly to self
cfv,call for vote
folo,fear of losing out
rrq,return receipt requested
furtb,filled up and ready to burst
tdm,too darn many
bdc,big dumb company
ldttwa,let's do the time warp again
bdn,big damn number
dystsott,did you see the size of that thing
n2mjchbu,"not too much just chillin, how bout you?"
bbfbbm,"body by fisher, brains by mattel"
1337,elite
fla,four letter acronym
rdv,reader's digest version
vbg,very big grin
tilii,tell it like it is
fbif**,*ing brilliant idea
kutgw,keep up the good work
vbs,very big smile
cta,call to action
ctc,care to chat
aoas,all of a sudden
cto,check this out
dyac,damn you auto correct
iykwim,if you know what i mean
jafs,just a fucking salesman
wim,woe is me
boaisy,bend over and i'll show you
hadvd,have advised
wiu,wrap it up
motos,member(s) of the opposite sex
jafo,just another fucking onlooker
crat,can't remember a thing
cha,click here asshole
gtfooh,get the fuck out of here
bfr,big fucking rock
usp,unique selling proposition
wrud,what are you doing?
pfa,pulled from ass
iit,is it tight?
pfc,pretty fucking cold
iir,if i remember
ttth,talk to the hand
pfm,pure fucking magic
om,old man
tttt,to tell the truth
swdyt,so what do you think?
taf,"that's all, folks"
og,original gangsta
hrc,nit means hurricane
rimjs,really i'm just saying
ibiwisii,'ll believe it when i see it
potus,president of the united states
taw,teachers are watching
tas,taking a shower
sro,standing room only
bcnu,be seeing you
jhom,"just helping out my (mafia, mob, neighbors, etc.)"
tah,take a hike
dws,driving while stupid
aamoi,as a matter of interest
afk,away from keyboard
aamof,as a matter of fact
siy,search inside yourself
afc,away from computer
dwb,don't write back
afz,acronym free zone
aft,about fucking time
afu,all fucked up
dwh,during work hours
afw,away from window
raebnc,"read and enjoyed, but no comment"
sooya,snake out of your ass
oz,australia
fitb,fill in the blanks
trdmc,tears running down my cheeks
poahf,put on a happy face
btfo,back the fuck off
bndn,been nowhere done nothing
afj,april fools joke
cuatsc,see you at the senior center
ilbcnul,8ri'll be seeing you later
ilbcnui,'ll be seeing you
a/n,author's note
kbd,keyboard
obx,old battle axe
posc,piece of shit computer
wawi,what a wonderful idea
lf,let's fuck
lg,life's good
ld,long distance
bofh,bastard operator from hell
tsh,too stinkin' hot
h4xx0r,hacker
ll,livin' large
lm,4a~##zzzz>let's meet for a joint
tsb,"tall, sexy, beautiful"
lh,laughing hysterically
kmuf,kiss me you fool
lu,locked up
tsr,totally stuck in ram
ly,love you
kmria,kiss my royal irish arse
rfr,really fucking rich
ibtl,in before the lock
hiooc,"help, i'm out of coffee"
ibtc,itty bitty titty committee
diku,do i know you?
nadt,not a damn thing
nfg,not fucking good
nff,no fucking fair
nfe,no fucking excuses
dwi,driving while intoxicated
nfc,not favorably considered
tram,the rest are mine
twhab,this won't hurt a bit
tisl,this is so lame
nfi,no fucking idea
sin,stop it now
nfw,no fucking way
kpc,keeping parents clueless
nfs,need for sex
wotam,waste of time and money
bttt,back to the top
yiwgp,"yes, i will go private"
sil,sister-in-law
hpoa,hot piece of ass
n/m,nothing much
labatyd,life's a bitch and then you die
nigyysob,"now i've got you, you son of a bitch"
lfl,lady of leisure
rtfaq,read the faq
n/a,not applicable
tigas,think i give a shit
lfu,"life""s fucked up"
88,hugs and kisses
eabos,eat a bag of shit
n/t,no text
86,"out of, over, to get rid of, or kicked out"
pbem,play by email
lthtt,laughing too hard to type
',*fkmfuckem
ggoh,gotta get out of here
smop,small matter of programming
n-a-y-l,in a while
c&g,chuckle and grin
aatk,always at the keyboard
snl,same night lay
411,information
p-za,pizza
kysoti,keep your stick on the ice
w/e,weekend
bwi,but what if
bwl,bursting with laughter
bwo,"black, white or other"
ltr,long term relationship
sthu,shut the hell up
hhos,"ha ha, only serious"
hhok,"ha ha, only kidding"
hhoj,"ha ha, only joking"
ltf,lick the floor
tabooma,take a bite out of my ass
ltm,laughing to myself
wts,want to sell
wabom,what a bunch of malarkey
ihr,involuntary hormonal reaction
waboc,what a bunch of crap
bamf,bad ass mother fucker
sosad,same old song and dance
ttul,talk to you later
cu46,see you for sex
ugtr,you got that right
sep,somebody else's problem
pots,plain old telephone system
soi,self owning idiot
hoyew,hanging on your every word
rsn,real soon now
issygtii,'m so sure you get the idea
botoh,but on the other hand
cya,cover your ass
cye,check your email
riyl,recommended if you like
gsoh,good sense of humor
cyo,see you online
jhomf,just helping out my friend(s)
cym,check your mail
cyl,see you later
yby,yeah baby yeah
khyf,know how you feel
g4i,go for it
tg4a,thank god for acronyms
ybs,you'll be sorry
g4n,good for nothing
sed,said enough darling
ggpbl,"gotta go, pacemaker battery low"
pmji,pardon my jumping in
icbwicbm,"it could be worse, it could be me"
ybf,you've been fucked
jm2c,just my 2 cents
neet,"not currently engaged in employment, education, or training"
sufid,screwing up face in disgust
nqa,no questions asked
su,shut up
mih,make it happen
tingtes,"there is no gravity, the earth sucks"
mil,mother-in-law
istm,it seems to me
ugfsu,your girlfriend's ugly
qt,cutie
omma,oh my aching ass
sfx,sound effects
sfp,sorry for partying
xlnt,excellent
sb,stand by
iyswim,if you see what i mean
awc,"after while, crocodile"
wetsu,we eat this shit up
urw,you are welcome
cicyhw,can i copy your home work
ooak,one of a kind
tdtm,talk dirty to me
dba,doing business as
esmf,eat shit mother fucker
dbd,don't be dumb
wyrn,what's your real name?
nagb,nearly almost a good bridge
tsra,two shakes of a rat's ass
wotd,word of the day
nagi,not a good idea
ngb,nearly good bridge
rmma,reading my mind again
ngh,not gonna happen
jas,just a second
tansit,there's a new sheriff in town
jad,just another day
dnbl8,do not be late
odtaa,one damn thing after another
onnta,"oh no, not this again"
galhim,get a load of him
tbu,thinking 'bout you
kyfc,keep your fingers crossed
121,one to one
sdfb,smoke dope fuck bitches
ydkm,you don't know me
tba,to be advised
tbc,to be continued
ymmv,your mileage may vary
tbe,thick between ears
tbd,to be determined
qq,quick question
gbg,great big grin
qs,quit scrolling
kibo,"knowledge in, bullshit out"
nism,need i say more
rtfm,mrtmrorread the manual
gras,generally recognized as safe
nncimintfz,"not now chief, i'm in the f ***in' zone"
wdalyic,who died and left you in charge?
qc,quality control
rtfq,read the fucking question
bbbg,bye bye be good
j4g,just for grins
j4f,just for fun
ql,quit laughing
ipni,'m posting naked
btw,by the way
btr,better
xoxozzz,hugs and kisses and sweet dreams
rafo,read and find out
btd,bored to death
pncah,"please, no cursing allowed here"
bta,but then again
shtf,shit hits the fan
wc,who cares
btn,better than nothing
wrudatm,what are you doing at the moment?
tku4uk,thank you for your kindness
p/u,pick up
utm,you tell me
maga,make america great again
bak@u,ub@urorback at you
qft,quoted for truth
etx,end of text
wu,what's up
tlc,tender loving care
tla,three letter acronym
eta,estimated time of arrival
btfld,yit means beautiful day
wiifm,what's in it for me
cn,can
cm,call me
afaik,as far as i know
cb,chat brat
wtg,4a\\%/want to go for a drink
cf,coffee freak
cd,carpe diem
cy,calm yourself
cx,cancelled
nb4t,not before time
rpg,role playing games
cs,career suicide
lmoa,left a message on your answering machine
ctmq,chuckle to myself quietly
cu,see you
ct,can't talk
ur2k,you are too kind
bbl,be back later
wiiwii,well it is what it is
bbb,bye bye babe
cbj,covered blow job
nhoh,never heard of him/her
bbw,big beautiful woman
tmsgo,too much shit going on
bbt,be back tomorrow
bbs,be back soon -or bulletin board service
bbr,burnt beyond repair
bbq,bar-b-que
oth,off the hook
otl,out to lunch
wthow,white trash headline of the week
hmu,hit me up
otc,over the counter
otf,on the floor
myt,meet you there
lgr,rlbrdandlittle boy's room and little girl's room
ots,on the scene
ott,over the top
f2f,"face-to-face, a.k.a. face time"
ysk,you should know
gfymf,go fuck yourself mother fucker
ycmtsu,you can't make this shit up
ap,apple pie
rbu,"rainbows, butterflies, unicorns"
w@,what?
pbiab,pay back is a bitch
tftc,thanks for the cache
rbf,referencing bitch face
rsvp,repondez s'il vous plait
wilb,workplace internet leisure browsing
vc,venture capital
gmtft,great minds think for themselves
lusm,love you so much
sitd,still in the dark
vm,voice mail
pso,product superior to operator
pdq,pretty darn quick
dwpkotl,deep wet passionate kiss on the lips
scotus,supreme court of the united states
denial,don't even notice i am lying
bbias,be back in a sec
sotmg,"short on time, must go"
s2r,send to receive
tfys,the fuck you say
s2u,same to you
inch,i’m never coming home
dusl,do you scream loud?
upod,under promise over deliver
iow,in other words
phb,pointy haired boss
iot,in order to
tisnt,that is so not true
ion,index of names
thks,thanks
dust,did you see that?
ytrnw,"yeah that's right, now what?"
tisnf,that is so not fair
igws,it goes without saying
wyw,wish you well
mrph,mail the right place for help
wyt,whatever you think
wys,whatever you say
wyp,what's your problem?
plokta,press lots of keys to abort
wyd,what you doing?
pda,personal digital assistant
mtla,my true love always
ioud,"inside, outside, upside down"
mfd,multi-function device
btsoom,beats the shit out of me
sufi,super finger
j5m,just five minutes
sics,sitting in chair snickering
dbabai,don't be a bitch about it
ftasb,faster than a speeding bullet
tcb,trouble came back
wgaff,who gives a flying fuck
nifoc,nude in front of the computer
adr,address
sicl,sitting in chair laughing
hsik,how should i know
m2ny,"me too, not yet"
nato,"no action, talk only"
yafiygi,you asked for it you got it
natc,not a text conversation
adm,aye dios mio
rehi,hi again
fyc,for your consideration
fya,for your amusement
fyf,from your friend
btdt,been there done that
fye,for your edification
fyi,for your information
fatm,foaming at the mouth
fym,for your misinformation
tisc,this is so cool
nvm,never mind
rtff,read the fucking faq
ly4e,love you forever
iiwm,if it were me
bobfoc,"body off baywatch, face off crimewatch"
rotm,right on the money
iaits,it's all in the subject
awltp,avoiding work like the plague
aiamu,and i'm a monkey's uncle
2qt,too cute
bgbc,be glad be cheerful
jly,jesus loves you
urapita,you are a pain in the ass
wthin,what the hell is next
vsf,very sad face
lmbpo,laughing my booty pop off
tyl,text you later
dqydj,don't quit your day job
doei,goodbye (in dutch)
dqmot,don't quote me on this
wwsd,what would satan do?
esg,"environmental, social, governance"
tma,too many acronyms
eso,equipment smarter than operator
tmi,too much information
kmwa,kiss my white ass
esh,"experience, strength, and hope"
cwyl,chat with you later
grrr,growling
c/p,cross post
aitr,adult in the room
brics,"brazil, russia, india, china, south africa"
nidl,"not interested, dislike"
yaba,yet another bloody acronym
swl,screaming with laughter
nmte,now more than ever
jtlyk,just to let you know
ndn,indian
mofo,mother fucker
tsob,tough son of a bitch
h9,husband in room
merp,modestly enlightened rich people
tsia,this says it all
tsif,thank science it's friday
bsod,blue screen of death
waci,what a cool idea
stst,sweet tea sweetie
blbblb,"back like bull, brain like bird"
x-i-10,exciting
rci,rectal cranial inversion
smim,send me an instant message
nesec,any second
ntymi,now that you mention it
eak,eating at keyboard
wcmtsu,we can't make this shit up
hp,higher power
hv,have
ht,hi there
hu,hook up
ho,hang on
frz,nit means freezing
hb,hurry back
hf,hello friend
hd,hold
aar8,at any rate
byop,bring your own pencil
wygiswypf,what you get is what you pay for
byow,build your own website
dmi,don't mention it
stppynozgtw,"stop picking your nose, get to work"
yryocc,you're running on your own cuckoo clock
byob,bring your own bottle
wisp,winning is so pleasureable
byoa,bring your own advil
byod,bring your own device
wysiwyg,what you see is what you get
hhtyay,happy holidays to you and yours
pin,person in need
mhoty,my hat's off to you
pic,as in sexy or naked
alotbsol,always look on the bright side of life
pif,paid in full
myl,mind your language
gigatt,god is good all the time
pir,parent in room
fbocd,facebook obsessive compulsive disorder
durs,damn you are sexy
mwbrl,more will be revealed later
oao,over and out
namailu,not as much as i love you
rumorf,are you male or female?
dwbh,don't worry be happy
sogop,shit or get off the pot
ubs,unique buying state
nrg,energy
pitmemboam,peace in the middle east my brother of another mother
iiabdfi,"if it ain't broke, don't fix it"
dyli,do you love it?
cs&f,cute sexy & funny
eod,end of day
bwdik,but what do i know
pmht,pardon my hashtag a.k.a. #pmht
eom,end of message
eol,end of life
eot,end of thread
hny,happy new year
